Time:                Temperature(C):      Altitude(m):         Pressure(psi):       
2009:16:08:36:42     -17.750740381208438  223.62879009216036   11.720206109225861*  
2009:16:08:36:42     -17.738228245418192  373.5407199260126    20.197856346941823*  
2009:16:08:36:43     -17.67176644853386   556.4712078747204    36.6218547979813*    
2009:16:08:36:43     -17.657940204803868  920.2855042509798    54.423474588903844   
2009:16:08:36:43     -17.564964095980994  1306.68898849413     70.55841490597791    
2009:16:08:36:43     -17.505469423271904  1413.877835469306    71.7907338248458     
2009:16:08:36:44     -17.453876791966042  1779.1768214457682   71.90733511390323    
2009:16:08:36:44     -17.430477882399657  1919.521213880824    91.05774943150458*   
2009:16:08:36:44     -17.429047944288435  2334.03352716028     93.88544399337783*   
2009:16:08:36:44     -17.326853820782087  2925.7683722975685   113.78075378290941*  
2009:16:08:36:45     -17.269631796438496  3926.166322159331    115.87503136385679*  
2009:16:08:36:45     -17.25793213160928   4255.237342081538    116.43500125117168*  
2009:16:08:36:45     -16.92694237454993   4376.219712795595    127.72476433297597*  
2009:16:08:36:45     -16.919943180681848  4423.536352938374    137.37135146348888*  
2009:16:08:36:46     -16.90613310185535   4572.0227103952475   139.49911502476374*  
2009:16:08:36:46     -16.850067496513333  4652.071690539621    143.30467012988345*  
2009:16:08:36:46     -16.743062469086638  4720.916094058838    152.05508084933706*  
2009:16:08:36:46     -16.720364408439153  4803.848626861044    152.62436436065397*  
2009:16:08:36:47     -16.598306145227085  4811.262458680537    166.05853589899965*  
2009:16:08:36:47     -16.291278010369737  4949.569263720206    173.2804846950342*   
2009:16:08:36:47     -16.093454774542753  5180.082152315024    176.4003967297345*   
2009:16:08:36:48     -15.836567379680755  5284.612692543105    179.59432386809192*  
2009:16:08:36:48     -15.742051893092995  5484.895597104497    195.19854452211493*  
2009:16:08:36:48     -15.72524531766788   6327.714373026648    230.834709053519*    
2009:16:08:36:48     -15.666017262210167  6675.9224342469815   251.31669742541774*  
