Time:                Pressure(psi):      
2009:16:08:36:42     11.720206109225861  
2009:16:08:36:42     20.197856346941823  
2009:16:08:36:43     36.6218547979813    
2009:16:08:36:44     91.05774943150458   
2009:16:08:36:44     93.88544399337783   
2009:16:08:36:44     113.78075378290941  
2009:16:08:36:45     115.87503136385679  
2009:16:08:36:45     116.43500125117168  
2009:16:08:36:45     127.72476433297597  
2009:16:08:36:45     137.37135146348888  
2009:16:08:36:46     139.49911502476374  
2009:16:08:36:46     143.30467012988345  
2009:16:08:36:46     152.05508084933706  
2009:16:08:36:46     152.62436436065397  
2009:16:08:36:47     166.05853589899965  
2009:16:08:36:47     173.2804846950342   
2009:16:08:36:47     176.4003967297345   
2009:16:08:36:48     179.59432386809192  
2009:16:08:36:48     195.19854452211493  
2009:16:08:36:48     230.834709053519    
2009:16:08:36:48     251.31669742541774  
2009:16:08:36:49     272.10259577091557  
2009:16:08:36:49     282.72510728660774  
2009:16:08:36:49     290.3656764747331   
2009:16:08:36:49     290.49687686932833  
2009:16:08:36:50     291.2115111794056   
2009:16:08:36:50     306.0480297845647   
2009:16:08:36:50     311.86729717193384  
2009:16:08:36:50     322.81581118044244  
2009:16:08:36:51     324.157240912456    
2009:16:08:36:51     327.0052446434346   
2009:16:08:36:51     328.8355479076166   
2009:16:08:36:51     331.36795289799517  
2009:16:08:36:52     331.89774598137876  
2009:16:08:36:52     334.0248377118582   
2009:16:08:36:52     340.1676102063933   
2009:16:08:36:52     350.77738602793397  
2009:16:08:36:53     375.9574870929683   
2009:16:08:36:53     406.5366760454314   
2009:16:08:36:53     425.0323385766086   
2009:16:08:36:53     425.4805819269858   
2009:16:08:36:54     455.9545601974868   
2009:16:08:36:54     459.69234797487377  
2009:16:08:36:54     505.5680424602249   
2009:16:08:36:54     530.9828852193066   
2009:16:08:36:55     575.4608467682621   
2009:16:08:36:55     586.2537110560795   
2009:16:08:36:55     589.2809122786447   
2009:16:08:36:55     593.4641730545765   
2009:16:08:36:56     602.5021875984737   
2009:16:08:36:56     656.4458829836817   
2009:16:08:36:56     657.1240491382014   
2009:16:08:36:56     657.8942737517268   
2009:16:08:36:57     658.9128851986958   
2009:16:08:36:57     663.3805425768635   
2009:16:08:36:57     674.5246389102678   
2009:16:08:36:57     685.5276262583254   
2009:16:08:36:58     687.8620082314502   
2009:16:08:36:58     688.1142914146654   
2009:16:08:36:58     689.781721587448    
2009:16:08:36:58     691.9107547215198   
2009:16:08:36:59     704.4047340477455   
2009:16:08:36:59     715.0049718434448   
2009:16:08:36:59     737.3208932616449   
2009:16:08:36:59     759.7069704559245   
2009:16:08:37:00     767.5096572861285   
2009:16:08:37:00     769.4236421557544   
2009:16:08:37:00     777.4267342169527   
2009:16:08:37:00     791.8449675188843   
2009:16:08:37:01     792.2445199716855   
2009:16:08:37:01     807.5958319886423   
2009:16:08:37:01     808.1796857116685   
2009:16:08:37:01     811.2222022404103   
2009:16:08:37:02     819.0865946166359   
2009:16:08:37:02     832.6367695865      
2009:16:08:37:02     841.4698743536719   
2009:16:08:37:02     841.5116251469468   
2009:16:08:37:03     845.9333043022643   
2009:16:08:37:03     863.1862556976478   
2009:16:08:37:03     874.4191722632422   
2009:16:08:37:03     883.208689226197    
2009:16:08:37:04     885.8812135071414   
2009:16:08:37:04     895.3461261680073   
2009:16:08:37:04     903.4656224879756   
2009:16:08:37:04     906.8204960314052   
2009:16:08:37:05     907.537102110788    
2009:16:08:37:05     926.5771020478553   
2009:16:08:37:05     929.8010371975463   
2009:16:08:37:05     937.0551380781022   
2009:16:08:37:06     940.5001159824444   
2009:16:08:37:06     960.0414844831995   
2009:16:08:37:06     962.8369300076822   
2009:16:08:37:06     966.2624773787765   
2009:16:08:37:07     985.0650190425447   
2009:16:08:37:07     986.6096740141317   
